start	end	text
0	9280	if you believe you can move the highest mountains cross the greatest oceans walk
9280	16920	across the water the water you feel defeated falling on your knees and
16920	21440	looking up for some hope tonight you try to stand up but you throw your hands
21440	25320	up like you no longer have the strength to fight because you've seen too many
25320	31320	sunsets too many days ending in the darkest night but on your own you never
31320	38360	know you'll never know if you believe you can move the highest mountains cross
38360	45880	the greatest oceans walk across the water the water believe you can move the
45880	53440	highest mountains cross the greatest oceans walk across the water if you
53960	55960	believe
57960	63240	they say that all you need is faith but it's almost like you lost your way took a
63240	67480	few wrong turns took a few breaks falling behind now looking for grace
67480	72840	cuz you need someone to lift you up yeah make right all the things you've done
72840	79600	cuz on your own you'll never know you'll never know if you believe you can move
79600	86920	the highest mountains cross the greatest oceans walk across the water
86920	94120	believe you can move the highest mountains cross the greatest oceans walk
94120	113240	across the water if you can do anything you can do anything you can do
113640	116680	anything you believe
120180	124640	If you believe you can move the highest mountains
124640	128760	cross the greatest oceans walk across the water
129480	137200	The water believe you can move the highest mountains cross the greatest oceans walk
137200	139200	across the water
139200	141000	if you believe
